user,label,num_classes,duration,size,RMSE,R2
1,attention,5,3.788191556930542,85991,1.2456498308392132,-0.8446973212679001
1,interest,5,2.7651703357696533,85991,1.2146926884500593,-1.0367918831966796
1,effort,5,4.416268825531006,85991,1.1973713618193629,-0.6511018334761838
2,attention,4,7.321396827697754,155966,1.0363321475255376,-0.7857652627133964
2,interest,5,10.778812170028687,155966,1.296748098479683,-0.8446834992803953
2,effort,5,9.090433597564697,155966,1.6218740115274557,-0.34774197110668004
3,attention,5,10.28317403793335,145361,1.0832233674595413,-0.16170788804238714
3,interest,5,4.002611398696899,145361,1.1374559049322486,-0.27086079363520954
3,effort,5,6.0164384841918945,145361,1.2123862042459845,-0.41284058887251324
6,attention,3,6.5770182609558105,171763,0.7666018835036693,-0.3779331074647459
6,interest,3,6.206584215164185,171763,0.8040712369134816,-0.13287735471934495
6,effort,5,7.49050235748291,171763,1.2224554720419305,-0.943879145166782
7,attention,4,7.695630311965942,174558,0.6171519358345181,-0.2611946360784426
7,interest,4,10.19786024093628,174558,0.6120602766848335,-0.21939330585816824
7,effort,4,8.673251152038574,174558,0.84252484372995,-0.45401295093587174
8,attention,5,8.272040843963623,222319,1.5768255237293287,-0.8322121084284386
8,interest,5,5.459438800811768,222319,1.4275591585936194,-0.46914577035121646
8,effort,5,8.05038571357727,222319,1.9223135759690702,-1.1543954306824227
9,attention,5,13.15633511543274,251940,1.1067593913372142,-0.04967148989224803
9,interest,5,9.36766266822815,251940,1.2830403668735806,-0.06729354638478846
9,effort,5,8.566466569900513,251940,1.3329054962128128,-0.23124270504245473
10,attention,4,2.5348715782165527,35673,1.7624236593107203,-4.4299740168843975
10,interest,4,3.589932441711426,35673,2.371401987135972,-13.655796119403703
10,effort,4,5.332359313964844,35673,2.0065959314211366,-6.812827440925995
11,attention,5,3.7998664379119873,82768,1.71950036494994,-4.839944826885254
11,interest,5,4.537994623184204,82768,1.8115461259055419,-3.673849534835683
11,effort,5,7.380829334259033,82768,1.4823095602900893,-1.030166340398266
12,attention,2,2.9801647663116455,11120,0.6247790476564811,-0.5928306630102058
12,interest,4,1.8913536071777344,11120,0.8977768186383426,-0.9625887269982769
12,effort,4,2.3438165187835693,11120,0.8262186548107625,-0.07816793864781997
17,attention,3,7.806107997894287,107552,0.6464654109200445,-0.1395339206703929
17,interest,3,6.692453861236572,107552,0.579416210093469,0.002292262256653932
17,effort,3,4.2147345542907715,107552,0.6299592706360615,-0.5456484126431929
18,attention,5,12.059504985809326,177374,1.5737979562996638,-0.8699140361171656
18,interest,5,5.7554802894592285,177374,1.4607146778158342,-0.5418225449104594
18,effort,3,6.498929977416992,177374,1.0843879510298522,-1.60253286508394
19,attention,4,3.3062901496887207,48850,0.9151165246970716,-1.9156133982561805
19,interest,5,2.9014382362365723,48850,1.202260294261985,-1.590380788936506
19,effort,3,4.482314348220825,48850,0.9064951261053238,-1.2003969357917028
20,attention,5,5.450405120849609,142794,1.4684436387508462,-0.7194970064488878
20,interest,5,4.243042707443237,142794,1.4109295571612548,-0.4875700653090071
20,effort,5,7.235532522201538,142794,1.6531553108250823,-0.5810539901577739
22,attention,4,9.648000717163086,138960,0.7804874393621922,-0.17475065325185396
22,interest,5,7.085541248321533,138960,0.9833266457495483,-0.283593160481738
22,effort,4,7.896889686584473,138960,0.8670883580041341,-0.5829682105487886
23,attention,5,12.055424451828003,236532,1.216308441778023,-0.5107453379004518
23,interest,5,10.3210129737854,236532,1.493072031250968,-1.5328239192244397
23,effort,5,11.654125690460205,236532,0.9941850882986529,-0.8080916733658391
24,attention,5,6.493118524551392,109652,0.8907705561324446,-0.7122503234439092
24,interest,5,7.5789220333099365,109652,1.315646722064511,-0.855774017992011
24,effort,5,5.9190146923065186,109652,1.0454985521830806,-0.8982159122844038
25,attention,4,10.37942910194397,261336,1.0494783974706052,-1.7690712165037048
25,interest,5,10.515278816223145,261336,1.1211393988972496,-1.3921963784600384
25,effort,4,9.14191222190857,261336,0.9459779847279826,-1.4765180008634071
